BVAP_SM_few_changes,BVAP_SM_most_changes,BVAP_dems,BVAP_enacted,BVAP_gop_bell2,BVAP_gop_jones,BVAP_new_VA,BVAP_reform,VAP_SM_few_changes,VAP_SM_most_changes,VAP_dems,VAP_enacted,VAP_gop_bell2,VAP_gop_jones,VAP_new_VA,VAP_reform,district_no,prop_BVAP_SM_few_changes,prop_BVAP_SM_most_changes,prop_BVAP_dems,prop_BVAP_enacted,prop_BVAP_gop_bell2,prop_BVAP_gop_jones,prop_BVAP_new_VA,prop_BVAP_reform,status
10065.000,12363.000,10205.000,9044.000,9152.000,10316.000,9573.000,7431.000,77848.000,70147.000,63972.000,79245.000,70544.000,68040.000,64937.000,74870.000,72,0.129,0.176,0.160,0.114,0.130,0.152,0.147,0.099,Adjacent to a district ruled unconstitutional
8371.000,5887.000,8604.000,8371.000,7126.000,8516.000,7869.000,21436.000,63116.000,67501.000,69443.000,63116.000,67072.000,68254.000,66684.000,61787.000,73,0.133,0.087,0.124,0.133,0.106,0.125,0.118,0.347,Adjacent to a district ruled unconstitutional
35087.000,33315.000,35087.000,35087.000,34140.000,35087.000,30771.000,34325.000,63445.000,63665.000,63445.000,63445.000,64113.000,63445.000,63342.000,63971.000,75,0.553,0.523,0.553,0.553,0.532,0.553,0.486,0.537,Adjacent to a district ruled unconstitutional
24593.000,24939.000,24593.000,14866.000,16167.000,16186.000,24593.000,21419.000,58364.000,58538.000,58364.000,59747.000,59811.000,59936.000,58364.000,62419.000,76,0.421,0.426,0.421,0.249,0.270,0.270,0.421,0.343,Adjacent to a district ruled unconstitutional
23252.000,14473.000,22727.000,22888.000,22433.000,22094.000,32078.000,15716.000,119429.000,84470.000,117401.000,118158.000,116755.000,117201.000,146092.000,61213.000,78,0.195,0.171,0.194,0.194,0.192,0.189,0.220,0.257,Adjacent to a district ruled unconstitutional
15564.000,15213.000,14668.000,19460.000,19211.000,28055.000,22217.000,24092.000,46051.000,46012.000,46156.000,66796.000,45187.000,60577.000,67987.000,60112.000,79,0.338,0.331,0.318,0.291,0.425,0.463,0.327,0.401,Adjacent to a district ruled unconstitutional
19872.000,23852.000,15297.000,19506.000,20073.000,24683.000,17173.000,26040.000,117607.000,118721.000,98160.000,117035.000,116399.000,129457.000,110780.000,159108.000,81,0.169,0.201,0.156,0.167,0.172,0.191,0.155,0.164,Adjacent to a district ruled unconstitutional
9336.000,15102.000,13393.000,9368.000,9441.000,10732.000,10233.000,23085.000,67436.000,73882.000,71755.000,67588.000,67636.000,75924.000,68387.000,60145.000,83,0.138,0.204,0.187,0.139,0.140,0.141,0.150,0.384,Adjacent to a district ruled unconstitutional
22560.000,28464.000,22899.000,19428.000,19796.000,15160.000,16088.000,22416.000,98764.000,121322.000,105252.000,93588.000,92981.000,73263.000,76807.000,102055.000,85,0.228,0.235,0.218,0.208,0.213,0.207,0.209,0.220,Adjacent to a district ruled unconstitutional
19352.000,19352.000,13094.000,11405.000,10502.000,12297.000,18954.000,22206.000,60275.000,60275.000,58571.000,59281.000,58830.000,59651.000,59148.000,60845.000,91,0.321,0.321,0.224,0.192,0.179,0.206,0.320,0.365,Adjacent to a district ruled unconstitutional
18707.000,10981.000,13790.000,13790.000,17773.000,18005.000,10766.000,11798.000,57820.000,62885.000,63314.000,63314.000,62221.000,61907.000,62600.000,65880.000,93,0.324,0.175,0.218,0.218,0.286,0.291,0.172,0.179,Adjacent to a district ruled unconstitutional
10467.000,18378.000,16971.000,12856.000,14054.000,12856.000,18593.000,19544.000,64059.000,60285.000,61650.000,62412.000,62180.000,62412.000,60570.000,60628.000,94,0.163,0.305,0.275,0.206,0.226,0.206,0.307,0.322,Adjacent to a district ruled unconstitutional
10307.000,10300.000,10300.000,10300.000,10339.000,10348.000,10300.000,10901.000,82058.000,80990.000,81283.000,81283.000,83032.000,82969.000,80990.000,70829.000,96,0.126,0.127,0.127,0.127,0.125,0.125,0.127,0.154,Adjacent to a district ruled unconstitutional
9663.000,9663.000,9656.000,9454.000,12272.000,12280.000,9663.000,16363.000,72236.000,72236.000,72181.000,71496.000,73196.000,72728.000,72256.000,64586.000,97,0.134,0.134,0.134,0.132,0.168,0.169,0.134,0.253,Adjacent to a district ruled unconstitutional
17690.000,17690.000,17651.000,17690.000,17623.000,14303.000,17747.000,15216.000,73332.000,73332.000,75630.000,73332.000,72991.000,59278.000,71824.000,79323.000,100,0.241,0.241,0.233,0.241,0.241,0.241,0.247,0.192,Adjacent to a district ruled unconstitutional
,,,,,,,,,,,,,,,,100,,,,,,,,,Adjacent to a district ruled unconstitutional
